pair,score,pct24,usd_vol,ema_slope
BSX/USD,382.480290,77.3050,88649.42,0.032477
LSK/USD,378.660591,61.5779,1410247.38,-0.005182
BOS/USD,157.895204,31.1032,119256.83,0.001581
NANO/USD,154.228879,23.6970,3223793.96,0.003475
UAI/USD,72.668424,12.7315,510216.37,-0.005869
APR/USD,68.362153,13.1072,164285.57,-0.004931
FLUX/USD,66.632937,11.6952,498255.14,0.002385
MET/USD,60.832697,12.9090,51572.42,0.004565
PROMPT/USD,51.746206,9.5581,259334.98,-0.002768
VELODROME/USD,50.302937,9.1186,328483.86,0.008691
SPELL/USD,47.946331,9.3851,128457.90,0.001345
SWEAT/USD,44.816279,9.6599,43593.50,0.008548
SOON/USD,43.353095,7.9006,307115.39,-0.016720
MERL/USD,42.789622,9.0454,53769.71,-0.000905
CVC/USD,35.848851,6.7826,192932.46,0.006138
CORN/USD,30.506879,6.9272,25344.96,0.000584
MOVR/USD,29.269760,6.2896,45043.38,0.014078
MYX/USD,20.297892,4.4554,35953.15,0.008216
HIPPO/USD,18.784728,3.9604,55352.35,0.001196
ICNT/USD,16.963910,3.7876,30113.46,-0.000244
RIVER/USD,12.762705,2.6203,74260.10,0.000342
CC/USDC,9.506760,1.6897,423105.53,-0.002387
EWT/USD,8.715133,1.7505,95173.37,0.002012
PTB/USD,8.195424,1.4946,304305.04,0.003958
H/USD,7.791878,1.3289,730398.29,0.003142
DAG/USD,7.187452,1.4987,62476.39,-0.009847
B2/USD,6.858356,1.4159,69766.48,-0.000189
DRV/USD,6.858026,1.5414,28127.35,-0.000203
XAN/USD,6.477792,1.3243,77873.30,0.008786
M/USD,6.457000,1.2841,106754.04,-0.000578
NPC/USD,6.148058,1.2193,110221.21,-0.001694
POPCAT/USD,5.197873,0.8649,1022212.06,0.000255
ASTER/USD,4.950961,0.7961,1656343.04,0.001830
CC/USD,4.694753,0.7197,3338080.33,0.001442
TRX/USD,3.552356,0.5874,1114981.84,0.000326
HONEY/USD,3.148213,0.6079,150941.17,-0.003599
BABY/USD,3.041955,0.6095,97856.72,-0.008456
ELX/USD,2.904792,0.6336,38434.24,-0.002624
PLAY/USD,1.884560,0.4041,46070.19,-0.006765
EURC/USDC,0.995399,0.1807,321813.11,-0.000174
