symbol,lots,total_qty,avg_cost_usd,last_px_usd,notional_usd,unreal_pnl_usd,unreal_pnl_pct
1INCH/USD,1,351.44903250,0.25860000,0.25860000,90.88,0.00,0.00
A/USD,1,63.73486000,0.47430000,0.47490000,30.27,0.04,0.13
AAVE/USD,1,0.15014348,299.78000000,299.99000000,45.04,0.03,0.07
AB/USD,1,5354.38400000,0.00845500,0.00845500,45.27,0.00,0.00
ACH/USD,1,2287.36034817,0.01988000,0.01989000,45.50,0.02,0.05
ALKIMI/USD,1,0.00010000,0.05534000,0.05534000,0.00,-0.00,-0.00
BABY/USD,1,0.00076000,0.05555000,0.05581000,0.00,0.00,0.47
M/USD,1,41.25320000,2.45751000,2.46043000,101.50,0.12,0.12
ETH/USD,1,0.00001203,4497.00000000,4498.55000000,0.05,0.00,0.03
BTC/USD,1,0.00001111,116865.00000000,116900.00000000,1.30,0.00,0.03
